"seq","speaker","clean_text","raw_text"
357,"JUSTICE KAGAN","let me just make sure i understand let us talk about defamation and an explicit recommendation go watch this video it is the greatest of all time okay but it does not repeat anything about the video it just says go watch this video it is the greatest of all time and the video is terribly defamatory in the way justice alito was describing now is the provider on the hook for that defam"," Let me just make sure I understand. Let's talk about defamation and an explicit recommendation, go watch this video, it's the greatest of all time, okay? But it does not repeat anything about the video. It just says, go watch this video, it's the greatest of all time. And the video is terribly defamatory in the way Justice Alito was describing. Now is the provider on the hook for that defamation?"
358,"MR. STEWART","the two things i would say are that depends on the defamation law of the relevant state and as we say in the brief you should analyze that as though the platform was recommending in the same terms a video posted on another site so if it would give rise to defamation liability under the law of the relevant state to give that sort of glowing recommendation of content posted on a different platform then there is no reason that youtube should be off the hook by virtue of the fact that the material was on its own platform"," The two things I would say are that depends on the defamation law of the relevant state, and, as we say in the brief, you should analyze that as though the platform was recommending in the same terms a video posted on another site. So, if it would give rise to defamation liability under the law of the relevant state to give that sort of glowing recommendation of content posted on a different platform, then there's no reason that YouTube should be off the hook by virtue of the fact that the material was on its own platform."
359,"JUSTICE KAGAN","and  and now it is "," And -- and now it's -- "
360,"JUSTICE ROBERTS","thank you justice sotomayor anything furth"," Thank you. Justice Sotomayor, anything further?"
361,"JUSTICE SOTOMAYOR","let us assume we are looking for a line because it is clear from our questions we are okay and let us assume that we are uncomfortable with a line that says merely recommending something without adornment you suggest we  you are  you might be interested in this something neutral not something like they are right watch this video because i could see someone possibly having a defamation action if they said  if i said that video is right about that person i could see someone saying that i am spreading a defamatory statement correct"," Let's assume we're looking for a line because it's clear from our questions we are, okay? And let's assume that we're uncomfortable with a line that says merely recommending something without adornment, you suggest, we -- you're -- you might be interested in this, something neutral, not something like they're right, watch this video, because I could see someone possibly having a defamation action if they said -- if I said that video is right about that person. I could see someone saying that I'm spreading a defamatory statement, correct?"
362,"MR. STEWART","i mean we  we do not understand the common law to have operated in that way but obviously the laws vary from state to state and a particular law  state could adopt a law to that effect"," I mean, we -- we don't understand the common law to have operated in that way, but, obviously, the laws vary from state to state, and a particular law -- state could adopt a law to that effect."
363,"JUSTICE SOTOMAYOR","all right how do we draw a line so we do not have to go past the complaint in every cas"," All right. How do we draw a line so we don't have to go past the complaint in every case?"
364,"MR. STEWART","i mean "," I mean --"
365,"JUSTICE SOTOMAYOR","and i think that is where my colleagues seem to be suffering and i understand your point which is there is a line at which affirmative action by an internet provider should not get them protection under c because that seems logical the  the example i used earlier the dating site they create a search engine that discriminates their action is in creating the search engine and i would think they would be liable for that so tell  tell me how we get ther"," And I think that's where my colleagues seem to be suffering. And I understand your point, which is there is a line at which affirmative action by an Internet provider should not get them protection under 230(c) because that seems logical. The -- the example I used earlier, the dating site, they create a search engine that discriminates. Their action is in creating the search engine. And I would think they would be liable for that. So tell -- tell me how we get there."
366,"MR. STEWART","i guess whether they would be liable would depend on the applicable substantive law which could be a federal law or it could be a state law and those questions obviously are  are routinely decided at the motion to dismiss stage that is with respect to the search engine choices that i described earlier do you include misspellings or not the plaintiff would still have to identify a law that was violated by the choice that the search engine made and would have to allege facts sufficient to show a violation of law and  and suits like that could easily be dismissed at the pleading stage but it would at least predominantly be a question of the adequacy of the allegations under the underlying law"," I guess whether they would be liable would depend on the applicable substantive law, which could be a federal law or it could be a state law. And those questions, obviously, are -- are routinely decided at the motion to dismiss stage. That is, with respect to the search engine choices that I described earlier, do you include misspellings or not? The plaintiff would still have to identify a law that was violated by the choice that the search engine made and would have to allege facts sufficient to show a violation of law. And -- and suits like that could easily be dismissed at the pleading stage. But it would at least predominantly be a question of the adequacy of the allegations under the underlying law. "
367,"JUSTICE ROBERTS","justice kagan"," Justice Kagan?"
368,"JUSTICE KAGAN","i guess i thought that the claims in these kinds of suits are that in making the recommendation or in presenting something as first so really prioritizing it that the  the provider is  is amplifying the harm is creating a kind of harm that would not have existed had the provider made other choices are you saying that that  that is something that could lead to liability or is not"," I guess I thought that the claims in these kinds of suits are that in making the recommendation or in presenting something as first, so really prioritizing it, that the -- the provider is -- is amplifying the harm, is creating a kind of harm that wouldn't have existed had the provider made other choices. Are you saying that that -- that is something that could lead to liability or is not?"
369,"MR. STEWART","i think it is something that could lead to liability but again it would  you would have to establish the elements of the  of the substantive law and so kind of the hypothetical we are concerned with and the hypothetical that i  i think would come out in our view as the wrong way under respondents theory is imagine a particular platform had been systematically promoting thirdparty isis videos and promoting in the sense of putting them at the top of peoples queues not of adding their own messages in order to enlist support for isis if that was the motivation and you could show the right causal link to a particular act of international terrorism then that could give rise to liability under the ata"," I think it is something that could lead to liability, but, again, it would -- you would have to establish the elements of the -- of the substantive law. And so kind of the hypothetical we're concerned with and the hypothetical that I -- I think would come out in our view as the wrong way under Respondent's theory is imagine a particular platform had been systematically promoting third-party ISIS videos and promoting in the sense of putting them at the top of people's queues, not of adding their own messages, in order to enlist support for ISIS. If that was the motivation and you could show the right causal link to a particular act of international terrorism, then that could give rise to liability under the ATA."
370,"JUSTICE KAGAN","and you are not saying that the motivation matters for  you are saying that the motivation matters with respect to the  the liability question down the road right"," And you're not saying that the motivation matters for 230; you're saying that the motivation matters with respect to the -- the liability question down the road, right?"
371,"MR. STEWART","exactly exact"," Exactly. Exactly. "
372,"JUSTICE ROBERTS","justice gorsuch"," Justice Gorsuch?"
373,"JUSTICE GORSUCH","mister stewart i just again kind of want to make sure i understand your argument and so i am going to ask you a question similar to what i asked mister schnapper which is the ninth circuit held that any information a company provides using neutral tools is protected under  that is at a of the  of the petition and your argument is that this neutral tools test is not in the statute what is in the statute is a distinction on the one hand between interactive computer service and access software providers and on the other hand content providers and when we look at that the access software provider is protected for picking choosing analyzing or even digesting content so  protects an access software provider an interactive computer service provider who does any of those things whether using a neutral tool or not they  they can order they can pick they can choose they can analyze they can digest however they wish and they are protected even those  even though those editorial functions we might well think of as some form of content in our first amendment jurisprudence but here they are shielded by  and then your argument i think goes that none of that means that they are protected for content generated beyond those functions and it does not matter whether that content is generated by neutral rules or not that content is actionable whether the  and one could think of content generated by neutral rules for example by artificial intelligence and another problem also is that it begs the question what a neutral rule is is an algorithm always neutral do not many of them seek to profitmaximize or promote their own products some might even prefer one point of view over another and because the ninth circuit applied the wrong test this neutral tools test rather than the content test we should remand the case for reconsideration under the appropriate standard is that a fair summary of your position and if not what am i miss"," Mr. Stewart, I just again kind of want to make sure I understand your argument, and so I'm going to ask you a question similar to what I asked Mr. Schnapper, which is the Ninth Circuit held that any information a company provides using neutral tools is protected under 230. That's at 34a of the -- of the petition. And your argument is that this neutral tools test isn't in the statute. What is in the statute is a distinction on the one hand between interactive computer service and access software providers and on the other hand content providers. And when we look at that, the access software provider is protected for picking, choosing, analyzing, or even digesting content. So 230 protects an access software provider, an interactive computer service provider, who does any of those things, whether using a neutral tool or not. They -- they can order, they can pick, they can choose, they can analyze, they can digest however they wish and they're protected, even those -- even though those editorial functions we might well think of as some form of content in our First Amendment jurisprudence, but, here, they're shielded by 230. And then your argument, I think, goes that none of that means that they're protected for content generated beyond those functions. And it doesn't matter whether that content is generated by neutral rules or not. That content is actionable whether the -- and one could think of content generated by neutral rules, for example, by artificial intelligence. And another problem also is that it begs the question what a neutral rule is. Is an algorithm always neutral? Don't many of them seek to profit-maximize or promote their own products? Some might even prefer one point of view over another. And because the Ninth Circuit applied the wrong test, this neutral tools test, rather than the content test, we should remand the case for reconsideration under the appropriate standard. Is that a fair summary of your position? And, if not, what am I missing?"
374,"MR. STEWART","i think the thing  the aspect of that we would disagree with is we do not think that the definition of access software provider means that an entity is immune from liability for performing all of those functions the statute makes clear that even if you perform those sorting arranging et cetera functions you still fall within the definition of interactive computer service and you are still entitled to the protection of c but the protection of c is protection from liability for the thirdparty content and so if you perform those sorting functions in a way that was otherwise unlawful you could be on the hook for that and that  that takes me back to the hypothetical about the job placement service that discriminates based on race the  the allegation of the job placement  of that job placement service is not that it created any of its own content the allegation would be that with respect to thirdparty content provided by the firms that were looking for employees it had used an impermissibly legal  a legally impermissible criterion to decide which content would be sent to which users and that would not be protected by c because imposing liability would not hold the platform  would not treat the platform as the publisher or speaker of the thirdparty cont"," I think the thing -- the aspect of that we would disagree with is we don't think that the definition of ""access software provider"" means that an entity is immune from liability for performing all of those functions. The statute makes clear that even if you perform those sorting, arranging, et cetera, functions, you still fall within the definition of ""interactive computer service,"" and you are still entitled to the protection of (c)(1). But the protection of (c)(1) is protection from liability for the third-party content. And so, if you perform those sorting functions in a way that was otherwise unlawful, you could be on the hook for that. And that -- that takes me back to the hypothetical about the job placement service that discriminates based on race. The -- the allegation of the job placement -- of that job placement service is not that it created any of its own content. The allegation would be that with respect to third-party content provided by the firms that were looking for employees, it had used an impermissibly legal -- a legally impermissible criterion to decide which content would be sent to which users. And that wouldn't be protected by (c)(1) because imposing liability wouldn't hold the platform -- wouldn't treat the platform as the publisher or speaker of the third-party content."
375,"JUSTICE GORSUCH","thank you"," Thank you. "
376,"JUSTICE ROBERTS","justice kavanaugh"," Justice Kavanaugh?"
377,"JUSTICE KAVANAUGH","first to follow up on justice alitos question the distributor liability question my understanding is that issue is not before us at this time right"," First, to follow up on Justice Alito's question, the distributor liability question, my understanding is that issue is not before us at this time, right?"
378,"MR. STEWART","that is correct"," That's correct."
379,"JUSTICE KAVANAUGH","and your position though or your response to him suggested that if we were addressing that the reason that falls within  is because the distributor at common law or at least by  was treated as a secondary publisher in the circumstances described there is that "," And your position, though, or your response to him suggested that if we were addressing that, the reason that falls within 230 is because the distributor at common law or at least by 1996 was treated as a secondary publisher in the circumstances described there. Is that --"
380,"MR. STEWART","that is basically correct y"," That's basically correct, yes."
381,"JUSTICE KAVANAUGH","okay then focusing on the text of the statute and following up on justice gorsuchs question it seems to me that the key move in your position as i understand it is to treat organization through the algorithms as the same thing as an express recommendation is that accur"," Okay. Then focusing on the text of the statute and following up on Justice Gorsuch's question, it seems to me that the key move in your position as I understand it is to treat organization through the algorithms as the same thing as an express recommendation. Is that accurate?"
382,"MR. STEWART","i do not  i do not think we would put it quite that way that is in some instances if the operation of the algorithm causes particular content to appear in a particular persons queue that the person hadnt requested then that person might perceive it to be a recommendation at least to the effect that you will like this based on what you have seen before so algorithms can not have that effect i do not know that we would equate the two i think we would say more the recommendation is simply one instance of the platform potentially being held liable for its own content rather than the thirdparty cont"," I don't -- I don't think we would put it quite that way. That is, in some instances, if the operation of the algorithm causes particular content to appear in a particular person's queue that the person hadn't requested, then that person might perceive it to be a recommendation at least to the effect that you will like this based on what you have seen before. So algorithms can't have that effect. I don't know that we would equate the two. I think we would say more the recommendation is simply one instance of the platform potentially being held liable for its own content rather than the third-party content."
383,"JUSTICE KAVANAUGH","and if the algorithm prioritizes certain content that becomes the platforms own speech under your theory of  correct  or "," And if the algorithm prioritizes certain content, that becomes the platform's own speech under your theory of 231, correct -- or 230?"
384,"MR. STEWART","i do not know that we would call it the platforms own speech but it is the platforms own conduct the platforms own choice and so if  if it violated antitrust law for instance to prioritize search results in a particular way whether or not you thought of that as speech by the  the platform it would be the platforms own conduct holding it liable for that sort of ordering would not be treating it as the publisher or speaker of any of the thirdparty submiss"," I don't know that we would call it the platform's own speech, but it's the platform's own conduct, the platform's own choice. And so, if -- if it violated antitrust law, for instance, to prioritize search results in a particular way, whether or not you thought of that as speech by the -- the platform, it would be the platform's own conduct. Holding it liable for that sort of ordering wouldn't be treating it as the publisher or speaker of any of the third-party submissions."
385,"JUSTICE KAVANAUGH","so the other side and the amici say that happens  that is what the  and justice kagans question that is happening everywher"," So the other side and the amici say that happens -- that's what the -- and Justice Kagan's question, that's happening everywhere."
386,"MR. STEWART","and "," And --"
387,"JUSTICE KAVANAUGH","and therefore  really becomes somewhat meaningless and you have read what makes the definition of interactive computer service including organizing to be a selfdefeating provision that really does nothing at al"," And, therefore, 230 really becomes somewhat meaningless, and you've read what makes the definition of ""interactive computer service,"" including organizing, to be a self-defeating provision that really does nothing at all."
388,"MR. STEWART","no i think  i mean i think if  if it is happening everywhere that is if search engines are using a wide variety of mechanisms to decide how content should be ordered that "," No, I think -- I mean, I think, if -- if it is happening everywhere, that is, if search engines are using a wide variety of mechanisms to decide how content should be ordered, that --"
389,"JUSTICE KAVANAUGH","do you disagree with that i mean that is all "," Do you disagree with that? I mean, that's all --"
390,"MR. STEWART","no i  no i agree with that"," No, I -- no, I agree with that."
391,"JUSTICE KAVANAUGH","okay"," Okay."
392,"MR. STEWART","and i think that is probably because there are very few if any laws out there that direct internet service providers to order the content in a particular way if a particular legislature wanted to say it will now be a violation of our law to give greater priority to search results of companies that advertise with you then the question whether that could violate the commerce clause the question whether it could violate the first amendment those would be live questions they would not be c questions because the states attempt to impose liability on that rationale would not be an attempt to hold the platform liable as the publisher or speaker of the thirdparty cont"," And I think that's probably because there are very few, if any, laws out there that direct Internet service providers to order the content in a particular way. If a particular legislature wanted to say it will now be a violation of our law to give greater priority to search results of companies that advertise with you, then the question whether that could violate the Commerce Clause, the question whether it could violate the First Amendment, those would be live questions. They wouldn't be 230(c)(1) questions because the state's attempt to impose liability on that rationale would not be an attempt to hold the platform liable as the publisher or speaker of the third-party content."
393,"JUSTICE KAVANAUGH","thank you"," Thank you. "
394,"JUSTICE ROBERTS","justice barrett"," Justice Barrett?"
395,"JUSTICE BARRETT","i want to ask you the question that mister schnapper and i went back and forth about thumbnails versus screenshots what would the governments position on that be so if there were screenshots on the side his objection seemed to be that it was googles content because youtube creates these thumbnail"," I want to ask you the question that Mr. Schnapper and I went back and forth about, thumbnails versus screenshots. What would the government's position on that be? So, if there were screenshots on the side, his objection seemed to be that it was Google's content because YouTube creates these thumbnails."
396,"MR. STEWART","and that  that was one aspect of mister schnappers theory that we disagreed "," And that -- that was one aspect of Mr. Schnapper's theory that we disagreed --"
397,"JUSTICE BARRETT","disagre"," Disagreed."
398,"MR. STEWART"," with in the brief that is we thought that it is basically the same content the same information either way even if in the one instance google is creating a url and in the other instance it is not"," -- with in the brief. That is, we thought that it's basically the same content, the same information either way, even if in the one instance Google is creating a URL and in the other instance it's not."
399,"JUSTICE BARRETT","so for purposes of this case is there any difference  let us imagine that the google algorithm when you search for isis prioritizes videos produced by isis in search results i am not talking about being on youtube content produced by isis as opposed to articles if you are just looking for articles about isis they could be critical of isis they could be all kinds of things but in the search result rankings you first get the article  the articles written by isis videos made by isis is that the same thing as this case then"," So, for purposes of this case, is there any difference -- let's imagine that the Google algorithm, when you search for ISIS, prioritizes videos produced by ISIS in search results. I'm not talking about being on YouTube. Content produced by ISIS, as opposed to articles, if you're just looking for articles about ISIS, they could be critical of ISIS, they could be all kinds of things, but in the search result rankings, you first get the article -- the articles written by ISIS, videos made by ISIS. Is that the same thing as this case then?"
400,"MR. STEWART","i think that would be the same thing as this case because we would say the fact that the videos appear in that order is the result of choices made by the platform not the choice of any person who posted an isis video on the platform and congress  it was very important to congress to absolve the platforms of liability for the thirdparty content but it did not try to go beyond that the likelihood that isis would be held liable just for that seems very very slim but it would not be a  c question it would be a question under whatever cause of action the plaintiff invok"," I think that would be the same thing as this case because we would say the fact that the videos appear in that order is the result of choices made by the platform, not the choice of any person who posted an ISIS video on the platform. And Congress -- it was very important to Congress to absolve the platforms of liability for the third-party content, but it didn't try to go beyond that. The likelihood that ISIS would be held liable just for that seems very, very slim, but it would not be a -- 230(c)(1) question. It would be a question under whatever cause of action the plaintiff invoked."
401,"JUSTICE BARRETT","okay and then what about users and retweets and likes the question i asked mister schnapper about that so you know i gather c would protect me from liability if i simply retweeted on miss blatts theory on your theory if i retweet it am i doing something different than pointing to thirdparty cont"," Okay. And then what about users and retweets and likes, the question I asked Mr. Schnapper about that. So, you know, I gather 230(c) would protect me from liability if I simply retweeted. On Ms. Blatt's theory, on your theory, if I retweet it, am I doing something different than pointing to third-party content?"
402,"MR. STEWART","i mean i think honestly there has not been a lot of litigation over the  the  the user prong of it and those are difficult issues i think c at the very least would say just by virtue of having retweeted you can not be treated as though you had made the original post yourself but with respect to you retweet can the retweet itself be grounds for liability i  i am not sure and i doubt that there would be much of a common law history to draw upon"," I mean, I think, honestly, there hasn't been a lot of litigation over the -- the -- the user prong of it, and those are difficult issues. I think 230(c)(1) at the very least would say just by virtue of having retweeted, you can't be treated as though you had made the original post yourself. But, with respect to you retweet, can the retweet itself be grounds for liability, I -- I'm not sure, and I doubt that there would be much of a common law history to draw upon."
403,"JUSTICE BARRETT","so you  but the logic of your position i think is that retweets or likes or check this out for users the logic of your position would be that would not protect in that situation either correct"," So you -- but the logic of your position, I think, is that retweets or likes or check this out, for users, the logic of your position would be that would not protect in that situation either, correct?"
404,"MR. STEWART","i  i think it would  i think more or less the case the  the one difference i would point to between the user and the platform is the user is  who reads a tweet is typically making an individualized choice do i want to like this tweet retweet it or neither whereas the  the platform decisions about which videos should wind up in  in my queue at a particular point in time there is no live human being making that choice on an individualized basis it is being  that  those choices are being made on a systemic basi"," I -- I think it would -- I think more or less the case, the -- the one difference I would point to between the user and the platform is the user is -- who reads a tweet is typically making an individualized choice, do I want to like this tweet, retweet it, or neither, whereas the -- the platform decisions about which videos should wind up in -- in my queue at a particular point in time, there's no live human being making that choice on an individualized basis. It's being -- that -- those choices are being made on a systemic basis."
405,"JUSTICE BARRETT","thank you"," Thank you. "
406,"JUSTICE ROBERTS","justice jackson"," Justice Jackson?"
407,"JUSTICE JACKSON","yes so can  can you help me to understand whether there really is a difference between the recommendations and what you say is core  conduct i mean i get  i get and i am holding firm in my mind that  immunity congress intended it to be directed to certain conduct by the platform and that conduct is its failure to block or screen the offensive conduct so that if the claim is this offensive content is on your website and you did not block or screen it  says you are immune i get that i guess what i am trying to understand is whether you say and plaintiff says petitioner in this case says well what they are really doing in the situation in which they display it under a banner that says up next is more than just providing that content and failing to block it they are promoting it in some way and i  i am really drilling down on whether or not there is actually a distinction in a world of the internet where as miss blatt and others have said in order to be a platform what you are doing is you have an algorithm and in the universe of things that exist you are presenting it to people so that they can read it why  why is that  even though it is  you know you call it a recommendation or whatever why is that act any different than being a publisher who has this information and has not taken it down"," Yes. So can -- can you help me to understand whether there really is a difference between the recommendations and what you say is core 230 conduct? I mean, I get -- I get and I'm holding firm in my mind that 230 immunity, Congress intended it to be directed to certain conduct by the platform and that conduct is its failure to block or screen the offensive conduct, so that if the claim is this offensive content is on your website and you didn't block or screen it, 230 says you're immune. I get that. I guess what I'm trying to understand is whether you say and plaintiff says, Petitioner in this case says, well, what they're really doing in the situation in which they display it under a banner that says ""Up next"" is more than just providing that content and failing to block it. They are promoting it in some way. And I -- I'm really drilling down on whether or not there is actually a distinction in a world of the Internet where, as Ms. Blatt and others have said, in order to be a platform, what you're doing is you have an algorithm, and in the universe of things that exist, you are presenting it to people so that they can read it. Why -- why is that -- even though it's -- you know, you call it a recommendation or whatever, why is that act any different than being a publisher who has this information and hasn't taken it down?"
408,"MR. STEWART","i mean i think i would say in  in the situation that c was designed to address the decision whether the material would go up on the platform was not that of the platform itself it was the decision of the thirdparty poster and congress said once that has happened you also can not be held liable for failing to take it down but with respect to what prominence you give it that is the result of your own choice not the thirdparty poster now in most circumstances it will not make a difference because the recommendation will not be actionable and so what we are concerned with is the  the hypothetical that i suggested earlier you have "," I mean, I think I would say, in -- in the situation that 230(c)(1) was designed to address, the decision whether the material would go up on the platform was not that of the platform itself, it was the decision of the third-party poster. And Congress said, once that has happened, you also can't be held liable for failing to take it down. But, with respect to what prominence you give it, that's the result of your own choice, not the third-party poster. Now, in most circumstances, it won't make a difference because the recommendation won't be actionable. And so what we are concerned with is the -- the hypothetical that I suggested earlier. You have --"
409,"JUSTICE JACKSON","yes i mean i get the  i get the liability piece and all of the  the parade of horribles will depend on whether or not they can actually be held liable for organizing it in a certain way and you say they probably can not  and others say they might be able to and that is a separate issue just back on the  piece of it in terms of congresss intent with respect to the scope of immunity i am  i  i guess i just want to understand why google or youtube when they have a box that brings up all of the isis videos and tees them up and if you do not do anything they just keep playing why that is actually different than the newspaper publisher who gets the offensive content and decides to put it on page  versus page  it seemed like congress in its  in  was saying if you  if  if under the common law a newspaper publisher would be liable for having put it on page  or whatever and given it to people we do not want that to be the case for these internet service companies and so i  i do not know that i understand fully why the fact that it is called  that you call it a recommendation or whatever is actually any differ"," Yes. I mean, I get the -- I get the liability piece and all of the -- the parade of horribles will depend on whether or not they can actually be held liable for organizing it in a certain way. And you say they probably can't. And others say they might be able to. And that's a separate issue. Just back on the 230 piece of it, in terms of Congress's intent with respect to the scope of immunity, I'm -- I -- I guess I just want to understand why Google or YouTube, when they have a box that brings up all of the ISIS videos and tees them up and, if you don't do anything, they just keep playing, why that's actually different than the newspaper publisher who gets the offensive content and decides to put it on page 1 versus page 20. It seemed like Congress in its -- in 230 was saying, if you -- if -- if under the common law a newspaper publisher would be liable for having put it on page 1 or whatever and given it to people, we don't want that to be the case for these Internet service companies. And so I -- I don't know that I understand fully why the fact that it's called -- that you call it a recommendation or whatever is actually any different."
410,"MR. STEWART","i  i guess one difference i would point to is newspaper publishers can make decisions about what will be on the front page and whatll be in the back but it is going to be the same for everybody and one of the things about why we call them targeted recommendations with youtube is they are being sent differently to different users and the situation we are concerned with is what if a platform is able through its algorithms to identify users who are likely to be especially receptive to isiss message and what if it systematically attempts to radicalize them by sending more and more and more and more extreme isis videos is that the sort of behavior that implicates either the text or the purposes of section c and we would say that it does not"," I -- I guess one difference I would point to is newspaper publishers can make decisions about what will be on the front page and what'll be in the back, but it's going to be the same for everybody. And one of the things about why we call them targeted recommendations with YouTube is they are being sent differently to different users. And the situation we're concerned with is what if a platform is able through its algorithms to identify users who are likely to be especially receptive to ISIS's message, and what if it systematically attempts to radicalize them by sending more and more and more and more extreme ISIS videos, is that the sort of behavior that implicates either the text or the purposes of Section 230(c)(1), and we would say that it doesn't."
411,"JUSTICE JACKSON","thank you"," Thank you. "
412,"JUSTICE ROBERTS","thank you counsel"," Thank you, counsel."
413,"MR. STEWART","thank you"," Thank you. "
414,"JUSTICE ROBERTS","miss blatt oral argument of lisa s blatt on behalf of the respond"," Ms. Blatt. ORAL ARGUMENT OF LISA S. BLATT ON BEHALF OF THE RESPONDENT"
415,"MS. BLATT","mister chief justice and may it please the court section cs  words created todays internet c forbids treating websites as the publisher or speaker of any information provided by another publication means communicating information so when websites communicate thirdparty information and the plaintiffs harm flows from that information c bars the claim the other side agrees section  bars any claim that youtube aided and abetted isis by broadcasting isis videos so they instead focus on youtubes organization of videos based on what is known about viewers what they call targeted recommendations they say that feature can be separated out because it implicitly conveys what viewers should watch or that they might like the content but accepting that theory would let plaintiffs always plead around c all publishing requires organization and inherently conveys that same implicit message plaintiffs should not be able to circumvent c by pointing to features inherent in all publishing c reflects congresss choice to shield websites for publishing other peoples speech even if they intentionally publish other peoples harmful speech congress made that choice to stop lawsuits from stifling the internet in its infancy the result has been revolutionary innovators opened up new frontiers for the world to share infinite information and websites necessarily pick choose and organize what thirdparty information users see first helping users find the proverbial needle in the haystack is an existential necessity on the internet search engines thus tailor what users see based on what is known about users so does amazon tripadvisor wikipedia yelp zillow and countless video music news jobfinding social media and dating websites exposing websites to liability for implicitly recommending thirdparty content defies the text and threatens todays internet i welcome your quest"," Mr. Chief Justice, and may it please the Court: Section 230(c)(1)'s 26 words created today's Internet. (c)(1) forbids treating websites as ""the publisher or speaker of any information provided by another."" Publication means communicating information. So, when websites communicate third-party information and the plaintiff's harm flows from that information, (c)(1) bars the claim. The other side agrees Section 230 bars any claim that YouTube aided and abetted ISIS by broadcasting ISIS videos. So they instead focus on YouTube's organization of videos based on what's known about viewers, what they call targeted recommendations. They say that feature can be separated out because it implicitly conveys what viewers should watch or that they might like the content. But accepting that theory would let plaintiffs always plead around (c)(1). All publishing requires organization and inherently conveys that same implicit message. Plaintiffs should not be able to circumvent (c)(1) by pointing to features inherent in all publishing. (c)(1) reflects Congress's choice to shield websites for publishing other people's speech, even if they intentionally publish other people's harmful speech. Congress made that choice to stop lawsuits from stifling the Internet in its infancy. The result has been revolutionary. Innovators opened up new frontiers for the world to share infinite information, and websites necessarily pick, choose, and organize what third-party information users see first. Helping users find the proverbial needle in the haystack is an existential necessity on the Internet. Search engines thus tailor what users see based on what's known about users. So does Amazon, Tripadvisor, Wikipedia, Yelp!, Zillow, and countless video, music, news, job-finding, social media, and dating websites. Exposing websites to liability for implicitly recommending third-party content defies the text and threatens today's Internet. I welcome your questions."
416,"JUSTICE THOMAS","miss blatt is  could you give me an example of not a recommendation but an endorsement similar to this that would take you beyond "," Ms. Blatt, is -- could you give me an example of not a recommendation but an endorsement similar to this that would take you beyond 230?"
417,"MS. BLATT","sure so whenever you have something that is going beyond the implicit features of publishing and you have an express statement you have a continuum and this continuum is this you have something that is the functional equivalent of an implicit message basically a topic heading or up next all the way to the other extreme of an endorsement of the content such that the website is adopting the content as its own now when you have that situation the claim is fairly treating the website for publishing its own speech and you can separate that out from the harm that is just coming from the information provided by another and the danger which your hypotheticals has raised with express speech is where on that continuum any express speech may go because unlike google and youtube which are the two worlds largest sites we do not have a lot of endorsements and that kind of stuff but other websites and other users use a myriad of topic headings and emojis that have different meanings that i am not prepared and you would have to know what they mean like kinds of checkmarks and i do not know high fives and all kinds of things but the basic features of topic headings up next trending now those kinds of things we would say are core inherent  they are no different than expressing what is implicit in any publishing which is we hope you read thi"," Sure. So whenever you have something that's going beyond the implicit features of publishing and you have an express statement, you have a continuum, and this continuum is this: You have something that's the functional equivalent of an implicit message, basically, a topic heading or ""Up next,"" all the way to the other extreme of an endorsement of the content such that the website is adopting the content as its own. Now, when you have that situation, the claim is fairly treating the website for publishing its own speech, and you can separate that out from the harm that's just coming from the information provided by another. And the danger which your hypotheticals has raised with express speech is where on that continuum any express speech may go because, unlike Google and YouTube, which are the two world's largest sites, we don't have a lot of endorsements and that kind of stuff, but other websites and other users use a myriad of topic headings and emojis that have different meanings that I'm not prepared and you would have to know what they mean, like kinds of checkmarks and, I don't know, high fives and all kinds of things. But the basic features of topic headings, ""Up next,"" ""Trending now,"" those kinds of things we would say are core, inherent -- they're no different than expressing what is implicit in any publishing, which is we hope you read this. "
418,"JUSTICE ROBERTS","well it seems to me that the language of the statute does not go that far it says that  their claim is limited as i understand it to the recommendations themselves in other words this  this is the list of things that you might like but that information the recommendation is not provided  under the words of the statute it is not provided by another information content provider it is provided by youtube or  or google and so although whatever the liability issue may be there is some issue tomorrow and there are a lot of others the presence of an immunity under c it seems to me is just not directly applic"," Well, it seems to me that the language of the statute doesn't go that far. It says that -- their claim is limited, as I understand it, to the recommendations themselves. In other words, this -- this is the list of things that you might like. But that information, the recommendation, is not provided -- under the words of the statute, it's not provided by another information content provider. It's provided by YouTube or -- or Google. And so, although whatever the liability issue may be, there's some issue tomorrow and there are a lot of others, the presence of an immunity under 230(c), it seems to me, is just not directly applicable."
